# Game Name				Local Save Location								Backup save Location
#========================================================================================================================================================================================

#AC Origins				C:\Users\Public\Documents\uPlay\CODEX\Saves\AssassinsCreedOrigins		X:\game-stuff\game-collection\Assassin's Creed Series\Assassin's Creed - Origins\Saved Games
#AC Odyssey				C:\Users\user\AppData\Roaming\uplay_emu\Player\5059\storage_files		X:\game-stuff\game-collection\Assassin's Creed Series\Assassin's Creed - Odyssey\Saved Games	
#Alice					S:\Documents\My Games\American McGee's Alice					X:\game-stuff\game-collection\Alice Series\American McGee's Alice\Saved Games
#Ascent					C:\Users\user\AppData\Local\TheAscent						X:\game-stuff\game-collection\Ascent, The\saved games
#Prey 2006				S:\Documents\My Games\PREY							X:\game-stuff\game-collection\Prey Series\Prey (2006)\Saved Games
#Prey 2017				C:\Users\user\Saved Games\Arkane Studios\Prey					X:\game-stuff\game-collection\Prey Series\Prey (2016)\Saved Games
Psychonauts				S:\games\Psychonauts\Profiles							X:\game-stuff\game-collection\Psychonauts Series\Psychonauts\Saved Games
#Psychonauts 2				C:\Users\user\AppData\Local\Psychonauts2					X:\game-stuff\game-collection\Psychonauts Series\Psychonauts 2\Saved Games
#Red Dead Redemption 2			C:\Users\user\AppData\Roaming\Goldberg SocialClub Emu Saves\RDR2		X:\game-stuff\game-collection\Red Dead Redemption 2\saved games
#Remnant				C:\Users\user\AppData\Local\Remnant						X:\game-stuff\game-collection\Remnant - From the Ashes\Saved Games
#Sakuna					S:\Games\Sakuna - Of Rice and Ruin\dataWin\Savedata				X:\game-stuff\game-collection\Sakuna - Of Rice and Ruin\Saved Games
#Secret of Mana				S:\Documents\My Games\Secret of Mana						X:\game-stuff\game-collection\Mana Series\Secret of Mana\Saved Games
Seed of the Dead			C:\Users\user\AppData\Local\SoD2						X:\game-stuff\game-collection\Seed of the Dead\saved games
#Sekiro					C:\Users\user\AppData\Roaming\Sekiro						X:\game-stuff\game-collection\Sekiro - Shadows Die Twice\Saved Games
#Shovel Knight				C:\Users\user\AppData\Roaming\Yacht Club Games\Shovel Knight			X:\game-stuff\game-collection\Shovel Knight\saved games
#Silent Hill 2				S:\Games\Silent Hill 2\data\save						X:\game-stuff\game-collection\Silent Hill Series\Silent Hill 2\Saved Games
#Sims 4					S:\Documents\Electronic Arts\The Sims 4						X:\game-stuff\game-collection\Sims Series\Sims 4, The\Saved Games
#SimCity Classic			S:\Documents\My Games\SimCity Classic						X:\game-stuff\game-collection\Sims Series\SimCity Classic\Saved Games
#Slime Rancher				C:\Users\user\AppData\LocalLow\Monomi Park\Slime Rancher			X:\game-stuff\game-collection\Slime Rancher\Saved Games
#SnowRunner				S:\Documents\My Games\SnowRunner						X:\game-stuff\game-collection\Spintires Series\SnowRunner\Saved Games
#Soldier of Fortune			S:\Games\Soldier of Fortune\User\save						X:\game-stuff\game-collection\Soldier of Fortune\Saved Games
#Spec Ops the Line			S:\Documents\My Games\SpecOps-TheLine						X:\game-stuff\game-collection\Spec Ops - The Line\Saved Games
#Stalker Lost Alpha			S:\Games\S.T.A.L.K.E.R. - Lost Alpha DC\appdata					X:\game-stuff\game-collection\S.T.A.L.K.E.R Series\S.T.A.L.K.E.R. - Lost Alpha [Mod]\Lost Alpha v1.4007\Saved Games
Stardew Valley				C:\Users\user\AppData\Roaming\StardewValley					X:\game-stuff\game-collection\Stardew Valley\Saved Games
#Subnautica				C:\games\Subnautica\SNAppData\SavedGames					X:\game-stuff\game-collection\Subnautica Series\Subnautica\Saved Games
#Super Mario 64				C:\Users\user\AppData\Roaming\sm64ex						X:\game-stuff\game-collection\Super Mario 64\Saved Games
#Terraria				S:\Documents\My Games\Terraria							X:\game-stuff\game-collection\Terraria\Saved Games
#The Surge				C:\Users\Public\Documents\Steam\CODEX\378540					X:\game-stuff\game-collection\Surge Series, The\Surge, The\Saved Games
#The Surge 2				C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves\644830			X:\game-stuff\game-collection\Surge Series, The\Surge 2, The\Saved Games
#Trials of Mana				S:\Documents\My Games\Trials of Mana						X:\game-stuff\game-collection\Mana Series\Trials of Mana\Saved Games
#Torchlight II				S:\Documents\My Games\Runic Games\Torchlight 2					X:\game-stuff\game-collection\Torchlight Series\Torchlight II\Saved Games
Turok					S:\games\Turok\saves								X:\game-stuff\game-collection\Turok Series\Turok\Saved Games
#Turok 2				S:\games\Turok2\saves								X:\game-stuff\game-collection\Turok Series\Turok 2 Seeds of Evil\Saved Games
#Unreal Gold				S:\Games\Unreal Gold\saves							X:\game-stuff\game-collection\Unreal Gold\Saved Games
#Windbound				C:\Users\user\AppData\LocalLow\5 Lives Studios\Windbound			X:\game-stuff\game-collection\Windbound\Saved Games
#Witcher 3				S:\Documents\The Witcher 3							X:\game-stuff\game-collection\Witcher Series\Witcher 3, The\Saved Games
#Xuan-Yuan Sword 7			C:\Users\user\AppData\Local\SOFTSTAR\SWD7					X:\game-stuff\game-collection\Xuan-Yuan Series\Xuan-Yuan Sword VII\Saved Games
#Yakuza 0				C:\Users\Public\Documents\Steam\CODEX\638970\remote				X:\game-stuff\game-collection\Yakuza Series\Yakuza 0\Saved Games
#Ys I					C:\Users\user\Saved Games\FALCOM\ys12c\ys1					X:\game-stuff\game-collection\Ys Series\Ys I\Saved Games
#Zombie Army 4				C:\Users\user\AppData\Local\Zombie Army 4					X:\game-stuff\game-collection\Sniper Elite - Zombie Army Series\Zombie Army 4\Saved Games


# Emulators and other Archived Games
#========================================================================================================================================================================================

#arc			1964				S:\Games\Emulation\1964						X:\game-stuff\emulation\N64\1964\My_1964.7z
#arc			bsnes				S:\Games\Emulation\bsnes_hd					X:\game-stuff\emulation\SNES\My_bsnes-hd.7z
arc			Cemu				S:\Games\Emulation\Cemu						X:\game-stuff\emulation\Wii U\My_Cemu.7z
#arc			Citra				C:\Users\user\AppData\Roaming\Citra				X:\game-stuff\emulation\3DS\My_Citra.7z
arc			Dolphin				S:\Games\Emulation\Dolphin					X:\game-stuff\emulation\Wii-Gamecube\My_Dolphin.7z
arc			Doom				S:\games\doom							X:\game-stuff\game-collection\Doom Series\Doom + Doom II (1993)\my_doom.7z
arc			Doom 64				S:\games\doom-64						X:\game-stuff\game-collection\Doom Series\Doom 64\Doom 64 EX\my_doom64.7z
arc			DuckStation			S:\Games\Emulation\duckstation					X:\game-stuff\emulation\Playstation\My_DuckStation.7z
#arc			Fallout 4			C:\Users\user\AppData\Local\ModOrganizer\Fallout 4		X:\game-stuff\game-collection\Fallout Series\Fallout 4\Saved Games\Mod_Organizer-FO4.7z
arc			Goldberg			C:\Users\user\AppData\Roaming\Goldberg SteamEmu Saves		X:\game-stuff\steam-emulators\Goldberg\Goldberg Game Saves\Goldberg_SteamEmu_Saves.7z
#arc			pcsx2				S:\Games\Emulation\pcsx2					X:\game-stuff\emulation\Playstation 2\My_pcsx2.7z
arc			Persona 3			S:\Games\persona-3						X:\game-stuff\game-collection\Persona Series\Persona 3 FES\Saved Games\persona3_saves.7z
arc			Quake				S:\Games\Quake							X:\game-stuff\game-collection\Quake Series\Quake\jake_quake.7z
#arc			rpcs3				S:\Games\Emulation\rpcs3					X:\game-stuff\emulation\Playstation 3\My_RPCS3.7z
arc			shortcuts			C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\	X:\archive-jake\my-settings\windows\game-shortcuts\games.7z
arc			yuzu				C:\Users\user\AppData\Roaming\yuzu				X:\game-stuff\emulation\Switch\My_yuzu.7z
